year,artist,track,time,genre,week,rank,date
2000,Bloodhound Gang,The Bad Touch,04:20,R&B,2,62,25/03/2000
2000,Jay-Z,Anything,03:41,Rap,5,63,25/03/2000
2000,"Vassar, Phil",Carlene,04:07,Country,4,64,25/03/2000
2000,"Rogers, Kenny",Buy Me A Rose,03:46,Country,3,65,25/03/2000
2000,Kumbia Kings,U Don't Love Me,03:50,R&B,4,67,25/03/2000
2000,SheDaisy,This Woman Needs,03:20,Country,8,68,25/03/2000
2000,"Griggs, Andy",She's More,03:19,Country,3,69,25/03/2000
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,20,7,25/03/2000
2000,Hot Boys,I Need A Hot Girl,04:16,Rap,6,70,25/03/2000
2000,"Martin, Ricky",Private Emotion,04:02,Latin,3,71,25/03/2000
2000,"Wright, Chely",It Was,03:51,R&B,4,72,25/03/2000
2000,Lox,"Ryde or Die, Chick",03:56,Rap,2,73,25/03/2000
2000,Nas,You Owe Me,03:51,R&B,1,74,25/03/2000
2000,"Thomas, Carl",I Wish,03:50,Rock,1,75,25/03/2000
2000,"McKnight, Brian",Stay Or Let It Go,04:32,Rock,5,76,25/03/2000
2000,"Brooks, Garth",Do What You Gotta Do,02:56,Country,6,77,25/03/2000
2000,"Kravitz, Lenny",I Belong To You,04:17,Rock,1,78,25/03/2000
2000,Montgomery Gentry,Daddy Won't Sell The Farm,04:18,Country,4,79,25/03/2000
2000,Savage Garden,I Knew I Loved You,04:07,Rock,23,8,25/03/2000
2000,Drama,"Left, Right, Left",03:37,Rap,7,80,25/03/2000
2000,"Stone, Angie",No More Rain (In This Cloud),04:42,R&B,14,81,25/03/2000
2000,"Eastsidaz, The",G'D Up,04:27,Rap,12,82,25/03/2000
2000,"Levert, Gerald",Mr. Too Damn Good,04:06,R&B,2,83,25/03/2000
2000,"Hollister, Dave",Can't Stay,06:17,Rock,1,84,25/03/2000
2000,"Raye, Collin",Couldn't Last A Moment,03:40,Country,2,85,25/03/2000
2000,Metallica,No Leaf Clover (Live),05:43,Rock,7,86,25/03/2000
2000,2 Pac,Baby Don't Cry,04:22,Rap,5,87,25/03/2000
2000,Sisqo,Got To Get It,03:52,Rock,19,88,25/03/2000
2000,Ginuwine,The Best Man I Can Be,04:06,Rock,12,89,25/03/2000
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,23,9,25/03/2000
2000,Mary Mary,Shackles (Praise You),03:12,Rock,1,90,25/03/2000
2000,R.E.M.,The Great Beyond,04:10,Rock,14,91,25/03/2000
2000,TLC,Dear Lie,04:36,Rock,7,92,25/03/2000
2000,Limp Bizkit,Re-Arranged,04:08,Rock,17,93,25/03/2000
2000,Ying Yang Twins,Whistle While You Twurk,04:19,Rap,2,94,25/03/2000
2000,"Williams, Robbie",Angels,03:56,Rock,19,95,25/03/2000
2000,"Iglesias, Enrique",Rhythm Divine,07:35,Latin,17,96,25/03/2000
2000,"Davidson, Clay",Unconditional,03:56,Country,1,97,25/03/2000
2000,Tamar,If You Don't Wanna Love Me,04:02,Rock,1,98,25/03/2000
2000,"Herndon, Ty",No Mercy,04:43,Country,2,99,25/03/2000
2000,Destiny's Child,Say My Name,04:31,Rock,15,1,01/04/2000
2000,Sisqo,Thong Song,04:05,Rock,10,10,01/04/2000
2000,Limp Bizkit,Re-Arranged,04:08,Rock,18,100,01/04/2000
2000,Pink,There U Go,03:23,Rock,5,11,01/04/2000
2000,Savage Garden,I Knew I Loved You,04:07,Rock,24,12,01/04/2000
2000,Sonique,It Feels So Good,03:48,Rock,11,13,01/04/2000
2000,Third Eye Blind,Never Let You Go,03:57,Rock,11,14,01/04/2000
2000,"Gray, Macy",I Try,03:52,Rock,7,15,01/04/2000
2000,Blink-182,All The Small Things,02:52,Rock,18,16,01/04/2000
2000,Vertical Horizon,Everything You Want,04:01,Rock,11,17,01/04/2000
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,19,18,01/04/2000
2000,Blaque,Bring It All To Me,03:46,Pop,24,19,01/04/2000
2000,Santana,"Maria, Maria",04:18,Rock,8,2,01/04/2000
2000,Joe,I Wanna Know,04:57,Rock,14,20,01/04/2000
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,Rap,19,23,01/04/2000
2000,"Dixie Chicks, The",Goodbye Earl,04:19,Country,3,24,01/04/2000
2000,Dr. Dre,Forgot About Dre,03:42,Rap,11,25,01/04/2000
2000,Kid Rock,Only God Knows Why,05:27,Rock,7,26,01/04/2000
2000,"Anthony, Marc",You Sang To Me,03:50,Latin,6,27,01/04/2000
2000,"Houston, Whitney",I Learned From The Best,04:18,Rock,7,28,01/04/2000
2000,Sammie,I Like It,04:09,Rock,10,29,01/04/2000
2000,"Hill, Faith",Breathe,04:04,Rap,22,3,01/04/2000
2000,Hoku,Another Dumb Blonde,03:47,Pop,7,30,01/04/2000
2000,Filter,Take A Picture,04:23,Rock,19,31,01/04/2000
2000,"Keith, Toby",How Do You Like Me Now?!,03:29,Country,10,32,01/04/2000
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,23,33,01/04/2000
2000,"Strait, George",The Best Day,03:24,Country,10,34,01/04/2000
2000,"Spears, Britney",From The Bottom Of My Broken Heart,04:30,Rock,10,35,01/04/2000
2000,Aaliyah,I Don't Wanna,04:15,Rock,10,36,01/04/2000
2000,Red Hot Chili Peppers,Otherside,04:13,Rock,8,37,01/04/2000
2000,Aaliyah,Try Again,04:03,Rock,3,38,01/04/2000
2000,D'Angelo,Untitled (How Does It Feel),07:10,R&B,11,39,01/04/2000
2000,Lonestar,Amazed,04:25,Country,44,4,01/04/2000
2000,Madonna,American Pie,04:30,Rock,7,40,01/04/2000
2000,Creed,Higher,05:16,Rock,30,41,01/04/2000
2000,"Lawrence, Tracy",Lessons Learned,02:55,Country,10,42,01/04/2000
2000,"Carey, Mariah",Thank God I Found You,04:14,Rock,17,43,01/04/2000
2000,DMX,Party Up (Up In Here),03:45,Rap,6,44,01/04/2000
2000,"McBride, Martina",Love's The Only House,05:13,Country,9,45,01/04/2000
2000,"McGraw, Tim",My Best Friend,04:33,Country,19,46,01/04/2000
2000,Black Rob,Whoa!,04:04,Rap,5,47,01/04/2000
2000,"Braxton, Toni",He Wasn't Man Enough,04:21,Rock,3,48,01/04/2000
2000,Sugar Ray,Falls Apart,04:15,Rock,12,49,01/04/2000
2000,N'Sync,Bye Bye Bye,03:15,Rock,10,5,01/04/2000
2000,Train,Meet Virginia,03:55,Rock,26,50,01/04/2000
2000,"Black, Clint",Been There,05:28,Country,7,51,01/04/2000
2000,"Wills, Mark",Back At One,04:00,Country,12,52,01/04/2000
2000,Jagged Edge,He Can't Love U,03:30,Rock,17,53,01/04/2000
2000,"Lopez, Jennifer",Feelin' Good,04:28,Latin,7,54,01/04/2000
2000,Bloodhound Gang,The Bad Touch,04:20,R&B,3,55,01/04/2000
2000,Eiffel 65,Blue (Da Ba Dee),03:29,Electronica,17,56,01/04/2000
2000,"Vassar, Phil",Carlene,04:07,Country,5,57,01/04/2000
2000,Lonestar,Smile,03:33,Country,16,58,01/04/2000
2000,"Dixie Chicks, The",Cowboy Take Me Away,04:51,Country,19,59,01/04/2000
2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,03:54,Rock,14,6,01/04/2000
2000,Da Brat,That's What I'm Looking For,03:44,Rap,6,60,01/04/2000
2000,"Messina, Jo Dee",Because You Love Me,03:50,Country,10,61,01/04/2000
2000,"Iglesias, Enrique",Be With You,03:36,Latin,1,63,01/04/2000
2000,"Thomas, Carl",I Wish,03:50,Rock,2,64,01/04/2000
2000,"Rogers, Kenny",Buy Me A Rose,03:46,Country,4,65,01/04/2000
2000,Eve,Love Is Blind,03:51,Rap,13,66,01/04/2000
2000,"Griggs, Andy",She's More,03:19,Country,4,67,01/04/2000
2000,J-Shin,One Night Stand,04:34,R&B,15,68,01/04/2000
2000,Hot Boys,I Need A Hot Girl,04:16,Rap,7,69,01/04/2000
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,24,7,01/04/2000
2000,Kumbia Kings,U Don't Love Me,03:50,R&B,5,70,01/04/2000
2000,"Wright, Chely",It Was,03:51,R&B,5,71,01/04/2000
2000,Nas,You Owe Me,03:51,R&B,2,72,01/04/2000
2000,"Simpson, Jessica",Where You Are,03:51,Rock,1,73,01/04/2000
2000,Jay-Z,Anything,03:41,Rap,6,74,01/04/2000
2000,"Raye, Collin",Couldn't Last A Moment,03:40,Country,3,75,01/04/2000
2000,Mary Mary,Shackles (Praise You),03:12,Rock,2,76,01/04/2000
2000,"Kravitz, Lenny",I Belong To You,04:17,Rock,2,77,01/04/2000
2000,"Martin, Ricky",Private Emotion,04:02,Latin,4,78,01/04/2000
2000,"Chesney, Kenny",What I Need To Do,04:05,Country,1,79,01/04/2000
2000,Lox,"Ryde or Die, Chick",03:56,Rap,3,80,01/04/2000
2000,Montgomery Gentry,Daddy Won't Sell The Farm,04:18,Country,5,81,01/04/2000
2000,SheDaisy,This Woman Needs,03:20,Country,9,82,01/04/2000
2000,"Levert, Gerald",Mr. Too Damn Good,04:06,R&B,3,83,01/04/2000
2000,"Hollister, Dave",Can't Stay,06:17,Rock,2,84,01/04/2000
2000,"Yearwood, Trisha",Real Live Woman,03:55,Country,1,85,01/04/2000
2000,Drama,"Left, Right, Left",03:37,Rap,8,86,01/04/2000
2000,M2M,Mirror Mirror,03:19,Pop,1,87,01/04/2000
2000,"McKnight, Brian",Stay Or Let It Go,04:32,Rock,6,88,01/04/2000
2000,"Stone, Angie",No More Rain (In This Cloud),04:42,R&B,15,89,01/04/2000
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,21,9,01/04/2000
2000,"Eastsidaz, The",G'D Up,04:27,Rap,13,90,01/04/2000
2000,Ying Yang Twins,Whistle While You Twurk,04:19,Rap,3,91,01/04/2000
2000,Anastacia,I'm Outta Love,04:01,Pop,1,92,01/04/2000
2000,Metallica,No Leaf Clover (Live),05:43,Rock,8,93,01/04/2000
2000,2 Pac,Baby Don't Cry,04:22,Rap,6,94,01/04/2000
2000,Sisqo,Got To Get It,03:52,Rock,20,95,01/04/2000
2000,Westlife,Swear It Again,04:07,Rock,1,96,01/04/2000
2000,"Davidson, Clay",Unconditional,03:56,Country,2,97,01/04/2000
2000,Tamar,If You Don't Wanna Love Me,04:02,Rock,2,98,01/04/2000
2000,"Herndon, Ty",No Mercy,04:43,Country,3,99,01/04/2000
2000,Santana,"Maria, Maria",04:18,Rock,9,1,08/04/2000
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,22,10,08/04/2000
2000,"McKnight, Brian",Stay Or Let It Go,04:32,Rock,7,100,08/04/2000
2000,"Gray, Macy",I Try,03:52,Rock,8,12,08/04/2000
2000,Sonique,It Feels So Good,03:48,Rock,12,13,08/04/2000
2000,Savage Garden,I Knew I Loved You,04:07,Rock,25,14,08/04/2000
2000,Vertical Horizon,Everything You Want,04:01,Rock,12,15,08/04/2000
2000,Third Eye Blind,Never Let You Go,03:57,Rock,12,16,08/04/2000
2000,Joe,I Wanna Know,04:57,Rock,15,17,08/04/2000
2000,Blink-182,All The Small Things,02:52,Rock,19,18,08/04/2000
2000,Blaque,Bring It All To Me,03:46,Pop,25,19,08/04/2000
2000,Destiny's Child,Say My Name,04:31,Rock,16,2,08/04/2000
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,20,20,08/04/2000
2000,"Anthony, Marc",You Sang To Me,03:50,Latin,7,21,08/04/2000
2000,Kid Rock,Only God Knows Why,05:27,Rock,8,23,08/04/2000
2000,"Dixie Chicks, The",Goodbye Earl,04:19,Country,4,24,08/04/2000
2000,Dr. Dre,Forgot About Dre,03:42,Rap,12,26,08/04/2000
2000,Hoku,Another Dumb Blonde,03:47,Pop,8,27,08/04/2000
2000,Aaliyah,Try Again,04:03,Rock,4,28,08/04/2000
2000,Sammie,I Like It,04:09,Rock,11,29,08/04/2000
2000,"Hill, Faith",Breathe,04:04,Rap,23,3,08/04/2000
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,Rap,20,30,08/04/2000
2000,"Keith, Toby",How Do You Like Me Now?!,03:29,Country,11,31,08/04/2000
2000,Red Hot Chili Peppers,Otherside,04:13,Rock,9,32,08/04/2000
2000,"Strait, George",The Best Day,03:24,Country,11,33,08/04/2000
2000,Creed,Higher,05:16,Rock,31,34,08/04/2000
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,24,35,08/04/2000
2000,"Houston, Whitney",I Learned From The Best,04:18,Rock,8,36,08/04/2000
2000,Aaliyah,I Don't Wanna,04:15,Rock,11,37,08/04/2000
2000,DMX,Party Up (Up In Here),03:45,Rap,7,38,08/04/2000
2000,"Braxton, Toni",He Wasn't Man Enough,04:21,Rock,4,39,08/04/2000
2000,Lonestar,Amazed,04:25,Country,45,4,08/04/2000
2000,"Lawrence, Tracy",Lessons Learned,02:55,Country,11,40,08/04/2000
2000,"Spears, Britney",From The Bottom Of My Broken Heart,04:30,Rock,11,41,08/04/2000
2000,Filter,Take A Picture,04:23,Rock,20,42,08/04/2000
2000,"McBride, Martina",Love's The Only House,05:13,Country,10,43,08/04/2000
2000,D'Angelo,Untitled (How Does It Feel),07:10,R&B,12,44,08/04/2000
2000,"Iglesias, Enrique",Be With You,03:36,Latin,2,45,08/04/2000
2000,Black Rob,Whoa!,04:04,Rap,6,46,08/04/2000
2000,"Black, Clint",Been There,05:28,Country,8,47,08/04/2000
2000,"Thomas, Carl",I Wish,03:50,Rock,3,48,08/04/2000
2000,"McGraw, Tim",My Best Friend,04:33,Country,20,49,08/04/2000
2000,N'Sync,Bye Bye Bye,03:15,Rock,11,5,08/04/2000
2000,Train,Meet Virginia,03:55,Rock,27,50,08/04/2000
2000,"Lopez, Jennifer",Feelin' Good,04:28,Latin,8,51,08/04/2000
2000,Sugar Ray,Falls Apart,04:15,Rock,13,52,08/04/2000
2000,"Vassar, Phil",Carlene,04:07,Country,6,53,08/04/2000
2000,"Rogers, Kenny",Buy Me A Rose,03:46,Country,5,54,08/04/2000
2000,Bloodhound Gang,The Bad Touch,04:20,R&B,4,55,08/04/2000
2000,"Carey, Mariah",Thank God I Found You,04:14,Rock,18,57,08/04/2000
2000,Madonna,American Pie,04:30,Rock,8,58,08/04/2000
2000,"Dixie Chicks, The",Cowboy Take Me Away,04:51,Country,20,59,08/04/2000
2000,Sisqo,Thong Song,04:05,Rock,11,6,08/04/2000
2000,Eiffel 65,Blue (Da Ba Dee),03:29,Electronica,18,60,08/04/2000
2000,"Messina, Jo Dee",Because You Love Me,03:50,Country,11,61,08/04/2000
2000,"Griggs, Andy",She's More,03:19,Country,5,62,08/04/2000
2000,Da Brat,That's What I'm Looking For,03:44,Rap,7,63,08/04/2000
2000,"Wills, Mark",Back At One,04:00,Country,13,64,08/04/2000
2000,Jagged Edge,He Can't Love U,03:30,Rock,18,65,08/04/2000
2000,"Simpson, Jessica",Where You Are,03:51,Rock,2,66,08/04/2000
2000,Lonestar,Smile,03:33,Country,17,67,08/04/2000
2000,Nas,You Owe Me,03:51,R&B,3,68,08/04/2000
2000,"Wright, Chely",It Was,03:51,R&B,6,69,08/04/2000
2000,Pink,There U Go,03:23,Rock,6,7,08/04/2000
2000,Kumbia Kings,U Don't Love Me,03:50,R&B,6,70,08/04/2000
2000,"Kravitz, Lenny",I Belong To You,04:17,Rock,3,71,08/04/2000
2000,Mary Mary,Shackles (Praise You),03:12,Rock,3,72,08/04/2000
2000,"Raye, Collin",Couldn't Last A Moment,03:40,Country,4,73,08/04/2000
2000,"Chesney, Kenny",What I Need To Do,04:05,Country,2,74,08/04/2000
2000,Savage Garden,Crash And Burn,04:41,Rock,1,75,08/04/2000
2000,"Levert, Gerald",Mr. Too Damn Good,04:06,R&B,4,76,08/04/2000
2000,Hot Boys,I Need A Hot Girl,04:16,Rap,8,77,08/04/2000
2000,Eve,Love Is Blind,03:51,Rap,14,78,08/04/2000
2000,Alice Deejay,Better Off Alone,06:50,Electronica,1,79,08/04/2000
2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,03:54,Rock,15,8,08/04/2000
2000,Son By Four,A Puro Dolor (Purest Of Pain),03:30,Latin,1,80,08/04/2000
2000,3 Doors Down,Kryptonite,03:53,Rock,1,81,08/04/2000
2000,Westlife,Swear It Again,04:07,Rock,2,82,08/04/2000
2000,"Yearwood, Trisha",Real Live Woman,03:55,Country,2,83,08/04/2000
2000,Lox,"Ryde or Die, Chick",03:56,Rap,4,84,08/04/2000
2000,Ying Yang Twins,Whistle While You Twurk,04:19,Rap,4,85,08/04/2000
2000,Jay-Z,Anything,03:41,Rap,7,86,08/04/2000
2000,M2M,Mirror Mirror,03:19,Pop,2,87,08/04/2000
2000,J-Shin,One Night Stand,04:34,R&B,16,88,08/04/2000
2000,"Martin, Ricky",Private Emotion,04:02,Latin,5,89,08/04/2000
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,25,9,08/04/2000
2000,"Brock, Chad",Yes!,03:22,Country,1,90,08/04/2000
2000,Drama,"Left, Right, Left",03:37,Rap,9,91,08/04/2000
2000,Tamar,If You Don't Wanna Love Me,04:02,Rock,3,92,08/04/2000
2000,"Hollister, Dave",Can't Stay,06:17,Rock,3,93,08/04/2000
2000,"Eastsidaz, The",G'D Up,04:27,Rap,14,94,08/04/2000
2000,Metallica,No Leaf Clover (Live),05:43,Rock,9,95,08/04/2000
2000,Montgomery Gentry,Daddy Won't Sell The Farm,04:18,Country,6,96,08/04/2000
2000,"Davidson, Clay",Unconditional,03:56,Country,3,97,08/04/2000
2000,"Stone, Angie",No More Rain (In This Cloud),04:42,R&B,16,98,08/04/2000
2000,2 Pac,Baby Don't Cry,04:22,Rap,7,99,08/04/2000
2000,Santana,"Maria, Maria",04:18,Rock,10,1,15/04/2000
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,26,10,15/04/2000
2000,"Stone, Angie",No More Rain (In This Cloud),04:42,R&B,17,100,15/04/2000
2000,Sonique,It Feels So Good,03:48,Rock,13,11,15/04/2000
2000,Vertical Horizon,Everything You Want,04:01,Rock,13,13,15/04/2000
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,23,14,15/04/2000
2000,Joe,I Wanna Know,04:57,Rock,16,15,15/04/2000
2000,Third Eye Blind,Never Let You Go,03:57,Rock,13,16,15/04/2000
2000,Savage Garden,I Knew I Loved You,04:07,Rock,26,17,15/04/2000
2000,"Anthony, Marc",You Sang To Me,03:50,Latin,8,18,15/04/2000
2000,Kid Rock,Only God Knows Why,05:27,Rock,9,19,15/04/2000
2000,Destiny's Child,Say My Name,04:31,Rock,17,2,15/04/2000
2000,"Dixie Chicks, The",Goodbye Earl,04:19,Country,5,20,15/04/2000
2000,Aaliyah,Try Again,04:03,Rock,5,21,15/04/2000
2000,Blaque,Bring It All To Me,03:46,Pop,26,22,15/04/2000
2000,Blink-182,All The Small Things,02:52,Rock,20,23,15/04/2000
2000,Sammie,I Like It,04:09,Rock,12,24,15/04/2000
2000,Dr. Dre,Forgot About Dre,03:42,Rap,13,26,15/04/2000
2000,Creed,Higher,05:16,Rock,32,28,15/04/2000
2000,Red Hot Chili Peppers,Otherside,04:13,Rock,10,29,15/04/2000
2000,"Hill, Faith",Breathe,04:04,Rap,24,3,15/04/2000
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,21,30,15/04/2000
2000,"Keith, Toby",How Do You Like Me Now?!,03:29,Country,12,31,15/04/2000
2000,DMX,Party Up (Up In Here),03:45,Rap,8,32,15/04/2000
2000,"Strait, George",The Best Day,03:24,Country,12,33,15/04/2000
2000,"Iglesias, Enrique",Be With You,03:36,Latin,3,34,15/04/2000
2000,"Braxton, Toni",He Wasn't Man Enough,04:21,Rock,5,35,15/04/2000
2000,Hoku,Another Dumb Blonde,03:47,Pop,9,36,15/04/2000
2000,Aaliyah,I Don't Wanna,04:15,Rock,12,37,15/04/2000
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,Rap,21,38,15/04/2000
2000,"Thomas, Carl",I Wish,03:50,Rock,4,39,15/04/2000
2000,N'Sync,Bye Bye Bye,03:15,Rock,12,4,15/04/2000
2000,"Lawrence, Tracy",Lessons Learned,02:55,Country,12,40,15/04/2000
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,25,41,15/04/2000
2000,"McBride, Martina",Love's The Only House,05:13,Country,11,42,15/04/2000
2000,Black Rob,Whoa!,04:04,Rap,7,43,15/04/2000
2000,"Black, Clint",Been There,05:28,Country,9,44,15/04/2000
2000,"Spears, Britney",From The Bottom Of My Broken Heart,04:30,Rock,12,45,15/04/2000
2000,"Rogers, Kenny",Buy Me A Rose,03:46,Country,6,46,15/04/2000
2000,"Vassar, Phil",Carlene,04:07,Country,7,47,15/04/2000
2000,"McGraw, Tim",My Best Friend,04:33,Country,21,48,15/04/2000
2000,Lonestar,Amazed,04:25,Country,46,5,15/04/2000
2000,"Aguilera, Christina",I Turn To You,04:00,Rock,1,50,15/04/2000
2000,D'Angelo,Untitled (How Does It Feel),07:10,R&B,13,51,15/04/2000
2000,Bloodhound Gang,The Bad Touch,04:20,R&B,5,52,15/04/2000
2000,"Houston, Whitney",I Learned From The Best,04:18,Rock,9,53,15/04/2000
2000,Mary Mary,Shackles (Praise You),03:12,Rock,4,54,15/04/2000
2000,"Griggs, Andy",She's More,03:19,Country,6,55,15/04/2000
2000,Da Brat,That's What I'm Looking For,03:44,Rap,8,56,15/04/2000
2000,504 Boyz,Wobble Wobble,03:35,Rap,1,57,15/04/2000
2000,Savage Garden,Crash And Burn,04:41,Rock,2,58,15/04/2000
2000,Nas,You Owe Me,03:51,R&B,4,59,15/04/2000
2000,Sisqo,Thong Song,04:05,Rock,12,6,15/04/2000
2000,Sugar Ray,Falls Apart,04:15,Rock,14,60,15/04/2000
2000,"Lopez, Jennifer",Feelin' Good,04:28,Latin,9,61,15/04/2000
2000,"Simpson, Jessica",Where You Are,03:51,Rock,3,62,15/04/2000
2000,LFO,I Don't Wanna Kiss You Goodnight,05:00,Rock,1,63,15/04/2000
2000,"Wright, Chely",It Was,03:51,R&B,7,64,15/04/2000
2000,Alice Deejay,Better Off Alone,06:50,Electronica,2,65,15/04/2000
2000,Westlife,Swear It Again,04:07,Rock,3,66,15/04/2000
2000,"Raye, Collin",Couldn't Last A Moment,03:40,Country,5,67,15/04/2000
2000,"Chesney, Kenny",What I Need To Do,04:05,Country,3,68,15/04/2000
2000,Jagged Edge,He Can't Love U,03:30,Rock,19,69,15/04/2000
2000,Pink,There U Go,03:23,Rock,7,7,15/04/2000
2000,3 Doors Down,Kryptonite,03:53,Rock,2,70,15/04/2000
2000,"Kravitz, Lenny",I Belong To You,04:17,Rock,4,71,15/04/2000
2000,"Messina, Jo Dee",Because You Love Me,03:50,Country,12,72,15/04/2000
2000,"Walker, Clay",The Chain Of Love,05:03,Country,1,73,15/04/2000
2000,"Wills, Mark",Back At One,04:00,Country,14,74,15/04/2000
2000,Kumbia Kings,U Don't Love Me,03:50,R&B,7,75,15/04/2000
2000,Eiffel 65,Blue (Da Ba Dee),03:29,Electronica,19,76,15/04/2000
2000,"Brock, Chad",Yes!,03:22,Country,2,77,15/04/2000
2000,Lonestar,Smile,03:33,Country,18,78,15/04/2000
2000,Hot Boys,I Need A Hot Girl,04:16,Rap,9,79,15/04/2000
2000,"Gray, Macy",I Try,03:52,Rock,9,8,15/04/2000
2000,Son By Four,A Puro Dolor (Purest Of Pain),03:30,Latin,2,80,15/04/2000
2000,Vitamin C,Graduation (Friends Forever),04:23,Rock,1,81,15/04/2000
2000,"Carey, Mariah",Thank God I Found You,04:14,Rock,19,82,15/04/2000
2000,"Yearwood, Trisha",Real Live Woman,03:55,Country,3,83,15/04/2000
2000,Ying Yang Twins,Whistle While You Twurk,04:19,Rap,5,84,15/04/2000
2000,Mya,The Best Of Me,04:12,Rock,1,85,15/04/2000
2000,"Levert, Gerald",Mr. Too Damn Good,04:06,R&B,5,86,15/04/2000
2000,Eve,Love Is Blind,03:51,Rap,15,87,15/04/2000
2000,Madonna,American Pie,04:30,Rock,9,88,15/04/2000
2000,Tamar,If You Don't Wanna Love Me,04:02,Rock,4,89,15/04/2000
2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,03:54,Rock,16,9,15/04/2000
2000,"Davidson, Clay",Unconditional,03:56,Country,4,90,15/04/2000
2000,Lox,"Ryde or Die, Chick",03:56,Rap,5,91,15/04/2000
2000,Jay-Z,Anything,03:41,Rap,8,92,15/04/2000
2000,"McKnight, Brian",Stay Or Let It Go,04:32,Rock,8,93,15/04/2000
2000,M2M,Mirror Mirror,03:19,Pop,3,94,15/04/2000
2000,Metallica,No Leaf Clover (Live),05:43,Rock,10,95,15/04/2000
2000,Drama,"Left, Right, Left",03:37,Rap,10,96,15/04/2000
2000,"Blige, Mary J.",Give Me You,05:00,Rock,1,97,15/04/2000
2000,"Hollister, Dave",Can't Stay,06:17,Rock,4,98,15/04/2000
2000,J-Shin,One Night Stand,04:34,R&B,17,99,15/04/2000
2000,Santana,"Maria, Maria",04:18,Rock,11,1,22/04/2000
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,27,10,22/04/2000
2000,Drama,"Left, Right, Left",03:37,Rap,11,100,22/04/2000
2000,Pink,There U Go,03:23,Rock,8,12,22/04/2000
2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,03:54,Rock,17,13,22/04/2000
2000,Joe,I Wanna Know,04:57,Rock,17,14,22/04/2000
2000,"Anthony, Marc",You Sang To Me,03:50,Latin,9,15,22/04/2000
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,24,16,22/04/2000
2000,Third Eye Blind,Never Let You Go,03:57,Rock,14,17,22/04/2000
2000,Aaliyah,Try Again,04:03,Rock,6,18,22/04/2000
2000,Kid Rock,Only God Knows Why,05:27,Rock,10,19,22/04/2000
2000,"Hill, Faith",Breathe,04:04,Rap,25,2,22/04/2000
2000,"Dixie Chicks, The",Goodbye Earl,04:19,Country,6,20,22/04/2000
2000,Savage Garden,I Knew I Loved You,04:07,Rock,27,21,22/04/2000
2000,Hanson,This Time Around,04:14,Country,1,22,22/04/2000
2000,"Iglesias, Enrique",Be With You,03:36,Latin,4,23,22/04/2000
2000,"Braxton, Toni",He Wasn't Man Enough,04:21,Rock,6,24,22/04/2000
2000,Creed,Higher,05:16,Rock,33,25,22/04/2000
2000,Blaque,Bring It All To Me,03:46,Pop,27,26,22/04/2000
2000,DMX,Party Up (Up In Here),03:45,Rap,9,27,22/04/2000
2000,Dr. Dre,Forgot About Dre,03:42,Rap,14,28,22/04/2000
2000,Red Hot Chili Peppers,Otherside,04:13,Rock,11,29,22/04/2000
2000,Destiny's Child,Say My Name,04:31,Rock,18,3,22/04/2000
2000,"Strait, George",The Best Day,03:24,Country,13,31,22/04/2000
2000,"Thomas, Carl",I Wish,03:50,Rock,5,32,22/04/2000
2000,Blink-182,All The Small Things,02:52,Rock,21,33,22/04/2000
2000,504 Boyz,Wobble Wobble,03:35,Rap,2,34,22/04/2000
2000,"Keith, Toby",How Do You Like Me Now?!,03:29,Country,13,35,22/04/2000
2000,Sammie,I Like It,04:09,Rock,13,36,22/04/2000
2000,Aaliyah,I Don't Wanna,04:15,Rock,13,38,22/04/2000
2000,"Aguilera, Christina",I Turn To You,04:00,Rock,2,39,22/04/2000
2000,N'Sync,Bye Bye Bye,03:15,Rock,13,4,22/04/2000
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,22,40,22/04/2000
2000,Hoku,Another Dumb Blonde,03:47,Pop,10,41,22/04/2000
2000,"McBride, Martina",Love's The Only House,05:13,Country,12,42,22/04/2000
2000,Mary Mary,Shackles (Praise You),03:12,Rock,5,43,22/04/2000
